name,num,difficulty
surf_atonement,32,533.200
surf_instantdeath,32,532.858
surf_theme,33,532.142
surf_not_so_prosurf,33,531.822
surf_endeavor,32,531.738
surf_stitched,32,531.678
surf_botanica,31,531.380
surf_apollo,36,531.346
surf_beyer2,31,531.065
surf_sinner_ksf,32,530.909
surf_executioner,32,530.892
surf_marbleblast_intermediate,31,530.834
surf_4dimensional,31,530.040
surf_hektik,32,529.838
surf_botanica,36,529.800
surf_zen2,32,529.478
surf_not_so_quick,32,529.113
surf_whatever,31,528.766
surf_ruse,32,528.693
surf_vantica,36,528.385
surf_crimson,32,528.324
surf_smol,32,528.185
surf_citypop,31,528.159
surf_garden_h,33,527.982
surf_pipeline,33,527.703
surf_infrared,31,526.880
surf_skipalot,31,526.317
surf_fortress_ksf,34,525.985
surf_loves_spliff,31,525.975
surf_ny_momentum2_ksf,31,525.657
surf_selenka,32,525.357
surf_barbies_malibu_adventure,36,524.968
surf_zbig2,32,524.905
surf_shambles,32,524.482
surf_slobs,31,524.119
surf_crank,35,523.903
surf_fortress_ksf,36,523.677
surf_funhouse2,32,523.365
surf_quarantine,31,522.783
surf_serenity2,33,521.590
surf_antimatter2,35,520.240
surf_haze,36,520.166
surf_radiant,32,519.531
surf_tormentor,31,519.466
surf_elysium5,32,519.030
surf_bluewall_v2,32,518.968
surf_runewords2_lod,36,518.811
surf_funhouse2,31,518.386
surf_be_gentle,32,518.350
surf_gloomy,33,518.077
surf_embrace,36,518.004
surf_lab,31,517.487
surf_seraph,31,517.251
surf_fast,31,516.768
surf_joutsenlaulu,31,516.595
surf_quake,38,516.441
surf_quake,31,516.140
surf_tronia_refix,31,515.983
surf_sunday,32,515.770
surf_north,32,515.449
surf_anything,32,515.247
surf_bluewall_v2,33,515.117
surf_santorini3,33,515.036
surf_pandemonium_njv,32,514.447
surf_aphelion,34,514.335
surf_plaguelands_beta7a,31,514.280
surf_greek_ksf,31,514.020
surf_apollo,34,513.996
surf_whynot,32,513.810
surf_monolith,32,513.765
surf_oompa2,31,513.705
surf_hektik,33,513.673
surf_trihard,31,513.636
surf_prismatic_ksf,31,513.409
surf_n_turf,36,513.359
surf_slate,33,513.047
surf_diamond_beta1,31,512.220
surf_spaceship_ksf,31,511.990
surf_ben10,38,511.904
surf_wizard,32,511.460
surf_synada,33,511.449
surf_funhouse2,36,511.048
surf_resource,31,510.970
surf_grotto,32,510.840
surf_ezclap,31,510.759
surf_excess,35,510.176
surf_nesquik,34,509.650
surf_nyze,32,509.442
surf_prevail,31,509.382
surf_despair,37,509.358
surf_fungus,32,508.990
surf_4head,33,508.952
surf_hero,32,508.857
surf_bugs,31,508.603
surf_doomsday,31,508.460
surf_runewords2_lod,34,508.459
surf_eon_fix,32,508.328
surf_asrown,31,508.127
surf_concretejungle_fix,34,508.048
surf_fractal,31,507.880
surf_sketchy,32,507.736
surf_firedancer,33,507.197
surf_santorini_ksf,35,507.116
surf_runewords2,31,507.112
surf_board_this_fix,37,505.604
surf_fortress_ksf,33,505.364
surf_sedona,35,504.773
surf_whynot2,32,503.676
surf_techslop,33,503.662
surf_aircontrol_ksf,31,503.118
surf_shade,35,502.553
surf_carbon,31,502.023
surf_pancake,31,501.744
surf_sempar_njv,31,501.738
surf_salvation,31,501.647
surf_pride,31,501.384
surf_chasm,34,501.076
surf_dread,32,501.071
surf_healthy,31,500.994
surf_sedona,38,500.992
surf_technique,33,500.845
surf_rst,31,500.164
surf_botanica,34,499.891
surf_doomsday,32,499.871
surf_angelina,37,499.673
surf_loweffort2,34,498.970
surf_runewords2,32,498.622
surf_ben10,32,498.579
surf_shoria,31,498.439
surf_runewords2_lod,35,498.428
surf_1024,39,498.153
surf_quasar_final,31,498.110
surf_tormentor,35,497.996
surf_antimatter2,34,497.825
surf_angelina,35,497.766
surf_unraveled,31,497.496
surf_barbies_malibu_adventure,34,497.255
surf_shibboleth,35,496.925
surf_pride,34,496.780
surf_antagonist2,33,496.319
surf_1998,31,496.212
surf_wizard,33,495.607
surf_unreal2,32,495.070
surf_ab,32,494.769
surf_infamous_ksf,31,494.654
surf_tequila,31,494.284
surf_vantica,31,494.196
surf_constrictor_remix,31,493.971
surf_ruse,35,493.934
surf_adrift_fix,31,493.896
surf_nemesis,32,493.830
surf_goliath,32,493.797
surf_gekar,32,493.727
surf_awakening,31,493.451
surf_haze,35,493.221
surf_north,34,493.075
surf_core_refix,31,493.022,<--------------------------------- tier 6
surf_chromatic,33,492.875
surf_runewords2,33,492.526
surf_depths,31,492.408
surf_perihelion,34,492.296
